pg_table;column_name;alias_name;data_type;position;display_type;section;notvisible
aep_arc_fictif;lib_recol;Récolement;text;11;DETAILED;Caractéristiques réseau;
aep_arc_fictif;exploitant;Exploitant;text;20;SYNTHETIC;Caractéristiques réseau;
aep_arc_fictif;prec_clas;Classe précision;text;30;DETAILED;Localisation;
aep_arc_fictif;territoire;Code orga;text;90;DETAILED;Métadonnées;1
aep_arc_fictif;nd_amont;Noeud amont;text;91;DETAILED;Métadonnées;1
aep_arc_fictif;nd_aval;Noeud aval;text;92;DETAILED;Métadonnées;1
aep_arc_fictif;code_contrat;Code Contrat;text;93;DETAILED;Métadonnées;1
aep_arc_fictif;geom;Geom;geometry;93;DETAILED;Métadonnées;1
aep_arc_fictif;uuid;UUID;uuid;;;;
aep_arc_fictif;source;Source de donnée;text;;;;
aep_arc_fictif;integ;Type intégration;text;;;;
aep_arc_fictif;dict;Dict;bool;;;;
aep_arc_fictif;date_cre;Date création;timestamp;;;;
aep_arc_fictif;date_maj;Date MAJ;timestamp;;;;
aep_arc_fictif;id_ext;ID Externe;text;;;;
aep_arc_fictif;commune;Commune;text;;;;
aep_arc_fictif;insee_code;Insee Code;text;;;;
aep_arc_fictif;rue;Rue;text;;;;
aep_arc_fictif;domaine;Domanialité;text;;;;
aep_arc_fictif;date_gref;Date géo-référencement;date;;;;
aep_arc_fictif;type_gref;Type relève;text;;;;
aep_arc_fictif;prec_gref;Classe précision appareil de levé;text;;;;
aep_arc_fictif;date_abdn;Date abandon;date;;;;
aep_arc_fictif;statut;Statut;text;;;;
aep_arc_fictif;propriete;Maître ouvrage;text;;;;
aep_arc_fictif;date_serv;Date mise en service;date;;;;
aep_arc_fictif;annee_max;Année min;int4;;;;
aep_arc_fictif;annee_min;Année max;int4;;;;
aep_arc_fictif;prec_xy;Classe précision XY;text;;;;
aep_arc_fictif;prec_z;Classe précision Z;text;;;;
aep_branche;id;ID;text;1;SYNTHETIC;Identification;
aep_branche;contrat;Contrat;text;2;SYNTHETIC;Identification;
aep_branche;type_br;Type de branche;text;3;SYNTHETIC;Identification;
aep_branche;date_serv;Date mise en service;date;10;DETAILED;Caractéristiques patrimoine;
aep_branche;longueur;Longueur;numeric;11;SYNTHETIC;Caractéristiques patrimoine;
aep_branche;materiau;Matériau;text;12;SYNTHETIC;Caractéristiques patrimoine;
aep_branche;diametre;Diamètre;int4;13;SYNTHETIC;Caractéristiques patrimoine;
aep_branche;lib_recol;Récolement;text;15;DETAILED;Caractéristiques patrimoine;
aep_branche;exploitant;Exploitant;text;20;SYNTHETIC;Caractéristiques réseau;
aep_branche;prec_clas;Classe précision;text;30;DETAILED;Localisation;
aep_branche;commune;Commune;text;31;DETAILED;Localisation;
aep_branche;rue;Rue;text;32;DETAILED;Localisation;
aep_branche;comment;Commentaires;text;40;DETAILED;Complément;
aep_branche;territoire;Code orga;text;90;DETAILED;Métadonnées;1
aep_branche;insee_code;Insee Code;text;91;DETAILED;Métadonnées;1
aep_branche;code_contrat;Code Contrat;text;92;DETAILED;Métadonnées;1
aep_branche;id_arc;Id Arc;text;93;DETAILED;Métadonnées;1
aep_branche;geom;Geom;geometry;94;DETAILED;Métadonnées;1
aep_branche;uuid;UUID;uuid;;;;
aep_branche;source;Source de donnée;text;;;;
aep_branche;integ;Type intégration;text;;;;
aep_branche;dict;Dict;bool;;;;
aep_branche;date_cre;Date création;timestamp;;;;
aep_branche;date_maj;Date MAJ;timestamp;;;;
aep_branche;id_ext;ID Externe;text;;;;
aep_branche;domaine;Domanialité;text;;;;
aep_branche;date_gref;Date géo-référencement;date;;;;
aep_branche;type_gref;Type relève;text;;;;
aep_branche;prec_gref;Classe précision appareil de levé;text;;;;
aep_branche;date_abdn;Date abandon;date;;;;
aep_branche;statut;Statut;text;;;;
aep_branche;propriete;Maître ouvrage;text;;;;
aep_branche;annee_max;Année min;int4;;;;
aep_branche;annee_min;Année max;int4;;;;
aep_branche;prec_xy;Classe précision XY;text;;;;
aep_branche;prec_z;Classe précision Z;text;;;;
aep_branche;id_nd_br;Id noeud de branche;text;;;;
aep_branche;marque_mat;Marque Matériau;text;;;;
aep_branche;old_id;ID SIG Source;int4;;;;
aep_cable_alimentation;id;ID;text;1;SYNTHETIC;Identification;
aep_cable_alimentation;contrat;Contrat;text;2;SYNTHETIC;Identification;
aep_cable_alimentation;type;Type;text;3;DETAILED;Identification;
aep_cable_alimentation;longueur;Longueur;numeric;10;DETAILED;Caractéristiques patrimoine;
aep_cable_alimentation;lib_recol;Récolement;text;11;DETAILED;Caractéristiques patrimoine;
aep_cable_alimentation;sensible;Ouvrage sensible;bool;12;DETAILED;Caractéristiques patrimoine;
aep_cable_alimentation;date_serv;Date mise en service;date;13;DETAILED;Caractéristiques patrimoine;
aep_cable_alimentation;exploitant;Exploitant;text;20;DETAILED;Caractéristiques réseau;
aep_cable_alimentation;commune;Commune;text;31;DETAILED;Localisation;
aep_cable_alimentation;territoire;Code orga;text;90;DETAILED;Métadonnées;1
aep_cable_alimentation;insee_code;Insee Code;text;91;DETAILED;Métadonnées;1
aep_cable_alimentation;rue;Rue;text;92;DETAILED;Localisation;
aep_cable_alimentation;nd_amont;Noeud amont;text;92;DETAILED;Métadonnées;1
aep_cable_alimentation;nd_aval;Noeud aval;text;93;DETAILED;Métadonnées;1
aep_cable_alimentation;code_contrat;Code Contrat;text;94;DETAILED;Métadonnées;1
aep_cable_alimentation;geom;Geom;geometry;95;DETAILED;Métadonnées;1
aep_cable_alimentation;uuid;UUID;uuid;;;;
aep_cable_alimentation;source;Source de donnée;text;;;;
aep_cable_alimentation;integ;Type intégration;text;;;;
aep_cable_alimentation;dict;Dict;bool;;;;
aep_cable_alimentation;date_cre;Date création;timestamp;;;;
aep_cable_alimentation;date_maj;Date MAJ;timestamp;;;;
aep_cable_alimentation;id_ext;ID Externe;text;;;;
aep_cable_alimentation;domaine;Domanialité;text;;;;
aep_cable_alimentation;date_gref;Date géo-référencement;date;;;;
aep_cable_alimentation;type_gref;Type relève;text;;;;
aep_cable_alimentation;prec_gref;Classe précision appareil de levé;text;;;;
aep_cable_alimentation;date_abdn;Date abandon;date;;;;
aep_cable_alimentation;statut;Statut;text;;;;
aep_cable_alimentation;propriete;Maître ouvrage;text;;;;
aep_cable_alimentation;annee_max;Année min;int4;;;;
aep_cable_alimentation;annee_min;Année max;int4;;;;
aep_cable_alimentation;prec_clas;Classe précision;text;;;;
aep_cable_alimentation;prec_xy;Classe précision XY;text;;;;
aep_cable_alimentation;prec_z;Classe précision Z;text;;;;
aep_cable_alimentation;old_id;ID SIG Source;int4;;;;
aep_cable_alimentation;servitude;Servitude;bool;;;;
aep_canalisation;id;ID;text;1;SYNTHETIC;Identification;
aep_canalisation;contrat;Contrat;text;2;SYNTHETIC;Identification;
aep_canalisation;territoire;Code orga;text;3;DETAILED;Métadonnées;
aep_canalisation;date_serv;Date mise en service;date;10;DETAILED;Caractéristiques patrimoine;
aep_canalisation;fonction;Fonction;text;11;DETAILED;Caractéristiques patrimoine;
aep_canalisation;longueur;Longueur;numeric;12;SYNTHETIC;Caractéristiques patrimoine;
aep_canalisation;materiau;Matériau;text;13;SYNTHETIC;Caractéristiques patrimoine;
aep_canalisation;diametre;Diamètre;int4;14;SYNTHETIC;Caractéristiques patrimoine;
aep_canalisation;lib_recol;Récolement;text;15;DETAILED;Caractéristiques patrimoine;
aep_canalisation;sensible;Ouvrage sensible;bool;16;DETAILED;Caractéristiques patrimoine;
aep_canalisation;mat_rehab;Matériau réhabilitation;text;17;DETAILED;Caractéristiques patrimoine;
aep_canalisation;exploitant;Exploitant;text;20;DETAILED;Caractéristiques réseau;
aep_canalisation;secteur;Secteur;text;21;DETAILED;Caractéristiques réseau;
aep_canalisation;etage;Etage de pression;text;22;DETAILED;Caractéristiques réseau;
aep_canalisation;type_eau;Type eau;text;23;DETAILED;Caractéristiques réseau;
aep_canalisation;ecoulement;Ecoulement;text;24;DETAILED;Caractéristiques patrimoine;
aep_canalisation;prec_clas;Classe précision;text;30;DETAILED;Localisation;
aep_canalisation;commune;Commune;text;31;DETAILED;Localisation;
aep_canalisation;rue;Rue;text;32;DETAILED;Localisation;
aep_canalisation;emplacemnt;Emplacement;text;33;DETAILED;Localisation;
aep_canalisation;comment;Commentaires;text;40;DETAILED;Complément;
aep_canalisation;insee_code;Insee Code;text;91;DETAILED;Métadonnées;1
aep_canalisation;nd_amont;Noeud amont;text;92;DETAILED;Métadonnées;1
aep_canalisation;nd_aval;Noeud aval;text;93;DETAILED;Métadonnées;1
aep_canalisation;code_contrat;Code Contrat;text;94;DETAILED;Métadonnées;1
aep_canalisation;geom;Geom;geometry;94;DETAILED;Métadonnées;1
aep_canalisation;uuid;UUID;uuid;;;;
aep_canalisation;source;Source de donnée;text;;;;
aep_canalisation;integ;Type intégration;text;;;;
aep_canalisation;dict;Dict;bool;;;;
aep_canalisation;date_cre;Date création;timestamp;;;;
aep_canalisation;date_maj;Date MAJ;timestamp;;;;
aep_canalisation;id_ext;ID Externe;text;;;;
aep_canalisation;domaine;Domanialité;text;;;;
aep_canalisation;date_gref;Date géo-référencement;date;;;;
aep_canalisation;type_gref;Type relève;text;;;;
aep_canalisation;prec_gref;Classe précision appareil de levé;text;;;;
aep_canalisation;date_abdn;Date abandon;date;;;;
aep_canalisation;statut;Statut;text;;;;
aep_canalisation;propriete;Maître ouvrage;text;;;;
aep_canalisation;annee_max;Année min;int4;;;;
aep_canalisation;annee_min;Année max;int4;;;;
aep_canalisation;prec_xy;Classe précision XY;text;;;;
aep_canalisation;prec_z;Classe précision Z;text;;;;
aep_canalisation;type_rehab;Type réhabilitation;text;;;;
aep_canalisation;date_rehab;Date réhabilitation;date;;;;
aep_canalisation;diam_rehab;Diamètre réhab.;int4;;;;
aep_canalisation;marque_mat;Marque Matériau;text;;;;
aep_canalisation;crit_hydr;Criticité Hydraulique;text;;;;
aep_canalisation;ss_fourr;Sous-fourreau;bool;;;;
aep_canalisation;joint;Type joints;text;;;;
aep_canalisation;prof;Profondeur;numeric;;;;
aep_canalisation;old_id;ID SIG Source;int4;;;;
aep_canalisation;servitude;Servitude;bool;;;;
aep_canalisation;prec_ann;Précision année;text;;;;
aep_canalisation;distr_zone;Zone de distribution;text;;;;
aep_canalisation_abandonnee;id;ID;text;1;SYNTHETIC;Identification;
aep_canalisation_abandonnee;contrat;Contrat;text;2;SYNTHETIC;Identification;
aep_canalisation_abandonnee;longueur;Longueur;numeric;10;SYNTHETIC;Caractéristiques patrimoine;
aep_canalisation_abandonnee;date_serv;Date mise en service;date;11;DETAILED;Caractéristiques patrimoine;
aep_canalisation_abandonnee;fonction;Fonction;text;12;SYNTHETIC;Caractéristiques patrimoine;
aep_canalisation_abandonnee;materiau;Matériau;text;13;SYNTHETIC;Caractéristiques patrimoine;
aep_canalisation_abandonnee;diametre;Diamètre;int4;14;SYNTHETIC;Caractéristiques patrimoine;
aep_canalisation_abandonnee;lib_recol;Récolement;text;15;DETAILED;Caractéristiques patrimoine;
aep_canalisation_abandonnee;mat_rehab;Matériau réhabilitation;text;16;DETAILED;Caractéristiques patrimoine;
aep_canalisation_abandonnee;type_eau;Type eau;text;20;DETAILED;Caractéristiques réseau;
aep_canalisation_abandonnee;ecoulement;Ecoulement;text;21;SYNTHETIC;Caractéristiques réseau;
aep_canalisation_abandonnee;exploitant;Exploitant;text;23;SYNTHETIC;Caractéristiques réseau;
aep_canalisation_abandonnee;prec_clas;Classe précision;text;30;DETAILED;Localisation;
aep_canalisation_abandonnee;commune;Commune;text;31;DETAILED;Localisation;
aep_canalisation_abandonnee;rue;Rue;text;32;DETAILED;Localisation;
aep_canalisation_abandonnee;emplacemnt;Emplacement;text;33;SYNTHETIC;Localisation;
aep_canalisation_abandonnee;comment;Commentaires;text;40;SYNTHETIC;Complément;
aep_canalisation_abandonnee;territoire;Code orga;text;90;DETAILED;Métadonnées;
aep_canalisation_abandonnee;nd_amont;Noeud amont;text;91;DETAILED;Métadonnées;
aep_canalisation_abandonnee;nd_aval;Noeud aval;text;92;DETAILED;Métadonnées;
aep_canalisation_abandonnee;insee_code;Insee Code;text;92;DETAILED;Métadonnées;1
aep_canalisation_abandonnee;code_contrat;Code Contrat;text;99;DETAILED;Métadonnées;1
aep_canalisation_abandonnee;geom;Geom;geometry;99;DETAILED;Métadonnées;1
aep_canalisation_abandonnee;uuid;UUID;uuid;;;;
aep_canalisation_abandonnee;source;Source de donnée;text;;;;
aep_canalisation_abandonnee;integ;Type intégration;text;;;;
aep_canalisation_abandonnee;dict;Dict;bool;;;;
aep_canalisation_abandonnee;date_cre;Date création;timestamp;;;;
aep_canalisation_abandonnee;date_maj;Date MAJ;timestamp;;;;
aep_canalisation_abandonnee;id_ext;ID Externe;text;;;;
aep_canalisation_abandonnee;domaine;Domanialité;text;;;;
aep_canalisation_abandonnee;date_gref;Date géo-référencement;date;;;;
aep_canalisation_abandonnee;type_gref;Type relève;text;;;;
aep_canalisation_abandonnee;prec_gref;Classe précision appareil de levé;text;;;;
aep_canalisation_abandonnee;date_abdn;Date abandon;date;;;;
aep_canalisation_abandonnee;statut;Statut;text;;;;
aep_canalisation_abandonnee;propriete;Maître ouvrage;text;;;;
aep_canalisation_abandonnee;annee_max;Année min;int4;;;;
aep_canalisation_abandonnee;annee_min;Année max;int4;;;;
aep_canalisation_abandonnee;prec_xy;Classe précision XY;text;;;;
aep_canalisation_abandonnee;prec_z;Classe précision Z;text;;;;
aep_canalisation_abandonnee;type_rehab;Type réhabilitation;text;;;;
aep_canalisation_abandonnee;date_rehab;Date réhabilitation;date;;;;
aep_canalisation_abandonnee;diam_rehab;Diamètre réhab.;int4;;;;
aep_canalisation_abandonnee;secteur;Secteur;text;;;;
aep_canalisation_abandonnee;etage;Etage de pression;text;;;;
aep_canalisation_abandonnee;marque_mat;Marque Matériau;text;;;;
aep_canalisation_abandonnee;sensible;Ouvrage sensible;bool;;;;
aep_canalisation_abandonnee;ss_fourr;Sous-fourreau;bool;;;;
aep_canalisation_abandonnee;joint;Type joints;text;;;;
aep_canalisation_abandonnee;old_id;ID SIG Source;int4;;;;
aep_canalisation_abandonnee;servitude;Servitude;bool;;;;
aep_canalisation_abandonnee;prec_ann;Précision année;text;;;;
aep_compteur;id;ID;text;1;SYNTHETIC;Identification;
aep_compteur;contrat;Contrat;text;2;SYNTHETIC;Identification;
aep_compteur;type;Type;text;3;SYNTHETIC;Identification;
aep_compteur;fonction;Fonction;text;10;DETAILED;Caractéristiques patrimoine;
aep_compteur;diametre;Diamètre;int4;11;SYNTHETIC;Caractéristiques patrimoine;
aep_compteur;marque;Marque;text;12;DETAILED;Caractéristiques patrimoine;
aep_compteur;modele;Modèle;text;13;DETAILED;Caractéristiques patrimoine;
aep_compteur;lib_recol;Récolement;text;14;DETAILED;Caractéristiques patrimoine;
aep_compteur;date_serv;Date mise en service;date;15;DETAILED;Caractéristiques patrimoine;
aep_compteur;cde_gmao;Code GMAO;text;16;SYNTHETIC;Caractéristiques patrimoine;
aep_compteur;exploitant;Exploitant;text;20;SYNTHETIC;Caractéristiques réseau;
aep_compteur;prec_clas;Classe précision;text;30;DETAILED;Localisation;
aep_compteur;commune;Commune;text;31;DETAILED;Localisation;
aep_compteur;rue;Rue;text;32;DETAILED;Localisation;
aep_compteur;x;X;numeric;33;DETAILED;Localisation;
aep_compteur;y;Y;numeric;34;DETAILED;Localisation;
aep_compteur;z;Z relève (matrice sup.);numeric;35;DETAILED;Localisation;
aep_compteur;comment;Commentaires;text;40;DETAILED;Complément;
aep_compteur;territoire;Code orga;text;90;DETAILED;Métadonnées;1
aep_compteur;insee_code;Insee Code;text;91;DETAILED;Métadonnées;1
aep_compteur;angle;Angle;float8;92;DETAILED;Métadonnées;1
aep_compteur;code_contrat;Code Contrat;text;93;DETAILED;Métadonnées;1
aep_compteur;geom;Geom;geometry;94;DETAILED;Métadonnées;1
aep_compteur;uuid;UUID;uuid;;;;
aep_compteur;source;Source de donnée;text;;;;
aep_compteur;integ;Type intégration;text;;;;
aep_compteur;dict;Dict;bool;;;;
aep_compteur;date_cre;Date création;timestamp;;;;
aep_compteur;date_maj;Date MAJ;timestamp;;;;
aep_compteur;id_ext;ID Externe;text;;;;
aep_compteur;domaine;Domanialité;text;;;;
aep_compteur;date_gref;Date géo-référencement;date;;;;
aep_compteur;type_gref;Type relève;text;;;;
aep_compteur;prec_gref;Classe précision appareil de levé;text;;;;
aep_compteur;date_abdn;Date abandon;date;;;;
aep_compteur;statut;Statut;text;;;;
aep_compteur;propriete;Maître ouvrage;text;;;;
aep_compteur;prec_xy;Classe précision XY;text;;;;
aep_compteur;prec_z;Classe précision Z;text;;;;
aep_compteur;id_emprise;ID Emprise;text;;;;
aep_compteur;code;Code;text;;;;
aep_compteur;adresse;Adresse ;text;;;;
aep_compteur;old_id;ID SIG Source;int4;;;;
aep_compteur_de_branche;id;ID;text;;;;
aep_compteur_de_branche;contrat;Contrat;text;;;;
aep_compteur_de_branche;uuid;UUID;uuid;;;;
aep_compteur_de_branche;source;Source de donnée;text;;;;
aep_compteur_de_branche;territoire;Code orga;text;;;;
aep_compteur_de_branche;integ;Type intégration;text;;;;
aep_compteur_de_branche;dict;Dict;bool;;;;
aep_compteur_de_branche;date_cre;Date création;timestamp;;;;
aep_compteur_de_branche;date_maj;Date MAJ;timestamp;;;;
aep_compteur_de_branche;id_ext;ID Externe;text;;;;
aep_compteur_de_branche;commune;Commune;text;;;;
aep_compteur_de_branche;insee_code;Insee Code;text;;;;
aep_compteur_de_branche;rue;Rue;text;;;;
aep_compteur_de_branche;domaine;Domanialité;text;;;;
aep_compteur_de_branche;date_gref;Date géo-référencement;date;;;;
aep_compteur_de_branche;type_gref;Type relève;text;;;;
aep_compteur_de_branche;prec_gref;Classe précision appareil de levé;text;;;;
aep_compteur_de_branche;date_abdn;Date abandon;date;;;;
aep_compteur_de_branche;statut;Statut;text;;;;
aep_compteur_de_branche;exploitant;Exploitant;text;;;;
aep_compteur_de_branche;propriete;Maître ouvrage;text;;;;
aep_compteur_de_branche;x;X;numeric;;;;
aep_compteur_de_branche;y;Y;numeric;;;;
aep_compteur_de_branche;z;Z relève (matrice sup.);numeric;;;;
aep_compteur_de_branche;date_serv;Date mise en service;date;;;;
aep_compteur_de_branche;prec_clas;Classe précision;text;;;;
aep_compteur_de_branche;prec_xy;Classe précision XY;text;;;;
aep_compteur_de_branche;prec_z;Classe précision Z;text;;;;
aep_compteur_de_branche;lib_recol;Récolement;text;;;;
aep_compteur_de_branche;angle;Angle;float8;;;;
aep_compteur_de_branche;code_contrat;Code Contrat;text;;;;
aep_compteur_de_branche;type;Type;text;;;;
aep_compteur_de_branche;diametre;Diamètre;int4;;;;
aep_compteur_de_branche;code;Code;text;;;;
aep_compteur_de_branche;cde_gmao;Code GMAO;text;;;;
aep_compteur_de_branche;marque;Marque;text;;;;
aep_compteur_de_branche;modele;Modèle;text;;;;
aep_compteur_de_branche;adresse;Adresse ;text;;;;
aep_compteur_de_branche;comment;Commentaires;text;;;;
aep_compteur_de_branche;old_id;ID SIG Source;int4;;;;
aep_compteur_de_branche;geom;Geom;geometry;;;;
aep_defense_incendie;id;ID;text;1;SYNTHETIC;Identification;
aep_defense_incendie;contrat;Contrat;text;2;SYNTHETIC;Identification;
aep_defense_incendie;type;Type;text;3;SYNTHETIC;Identification;
aep_defense_incendie;diametre;Diamètre;int4;10;SYNTHETIC;Caractéristiques patrimoine;
aep_defense_incendie;cde_sdis;Code SDIS;text;11;SYNTHETIC;Caractéristiques patrimoine;
aep_defense_incendie;marque;Marque;text;12;DETAILED;Caractéristiques patrimoine;
aep_defense_incendie;modele;Modèle;text;13;DETAILED;Caractéristiques patrimoine;
aep_defense_incendie;comment;Commentaires;text;14;DETAILED;Caractéristiques patrimoine;
aep_defense_incendie;date_serv;Date mise en service;date;15;DETAILED;Caractéristiques patrimoine;
aep_defense_incendie;nat_risq;Nature du risque;text;16;DETAILED;Caractéristiques patrimoine;
aep_defense_incendie;exploitant;Exploitant;text;20;SYNTHETIC;Caractéristiques réseau;
aep_defense_incendie;prec_clas;Classe précision;text;30;DETAILED;Localisation;
aep_defense_incendie;commune;Commune;text;31;DETAILED;Localisation;
aep_defense_incendie;rue;Rue;text;32;DETAILED;Localisation;
aep_defense_incendie;x;X;numeric;33;DETAILED;Localisation;
aep_defense_incendie;y;Y;numeric;34;DETAILED;Localisation;
aep_defense_incendie;z;Z relève (matrice sup.);numeric;35;DETAILED;Localisation;
aep_defense_incendie;adresse;Adresse ;text;36;DETAILED;Localisation;
aep_defense_incendie;territoire;Code orga;text;90;DETAILED;Métadonnées;1
aep_defense_incendie;insee_code;Insee Code;text;91;DETAILED;Métadonnées;1
aep_defense_incendie;angle;Angle;float8;92;DETAILED;Métadonnées;1
aep_defense_incendie;code_contrat;Code Contrat;text;93;DETAILED;Métadonnées;1
aep_defense_incendie;geom;Geom;geometry;94;DETAILED;Métadonnées;1
aep_defense_incendie;uuid;UUID;uuid;;;;
aep_defense_incendie;source;Source de donnée;text;;;;
aep_defense_incendie;integ;Type intégration;text;;;;
aep_defense_incendie;dict;Dict;bool;;;;
aep_defense_incendie;date_cre;Date création;timestamp;;;;
aep_defense_incendie;date_maj;Date MAJ;timestamp;;;;
aep_defense_incendie;id_ext;ID Externe;text;;;;
aep_defense_incendie;domaine;Domanialité;text;;;;
aep_defense_incendie;date_gref;Date géo-référencement;date;;;;
aep_defense_incendie;type_gref;Type relève;text;;;;
aep_defense_incendie;prec_gref;Classe précision appareil de levé;text;;;;
aep_defense_incendie;date_abdn;Date abandon;date;;;;
aep_defense_incendie;statut;Statut;text;;;;
aep_defense_incendie;propriete;Maître ouvrage;text;;;;
aep_defense_incendie;prec_xy;Classe précision XY;text;;;;
aep_defense_incendie;prec_z;Classe précision Z;text;;;;
aep_defense_incendie;lib_recol;Récolement;text;;;;
aep_defense_incendie;code;Code;text;;;;
aep_defense_incendie;cote_sol;Niveau sol;numeric;;;;
aep_defense_incendie;choc;Choc;bool;;;;
aep_defense_incendie;protection;Protection;bool;;;;
aep_defense_incendie;conforme;Conforme;bool;;;;
aep_defense_incendie;old_id;ID SIG Source;int4;;;;
aep_emprise_ouvrage;commune;Commune;text;;;;
aep_emprise_ouvrage;id;ID;text;;;;
aep_emprise_ouvrage;contrat;Contrat;text;;;;
aep_emprise_ouvrage;insee_code;Insee Code;text;;;;
aep_emprise_ouvrage;rue;Rue;text;;;;
aep_emprise_ouvrage;territoire;Code orga;text;;;;
aep_emprise_ouvrage;domaine;Domanialité;text;;;;
aep_emprise_ouvrage;date_abdn;Date abandon;date;;;;
aep_emprise_ouvrage;statut;Statut;text;;;;
aep_emprise_ouvrage;code_contrat;Code Contrat;text;;;;
aep_emprise_ouvrage;cde_gmao;Code GMAO;text;;;;
aep_emprise_ouvrage;type;Type;text;;;;
aep_emprise_ouvrage;libelle;Libellé;text;;;;
aep_emprise_ouvrage;prec_clas;Classe précision;text;;;;
aep_emprise_ouvrage;date_serv;Date mise en service;date;;;;
aep_emprise_ouvrage;lib_recol;Récolement;text;;;;
aep_emprise_ouvrage;geom;Geom;geometry;;;;
aep_equipement;id;ID;text;1;SYNTHETIC;Identification;
aep_equipement;contrat;Contrat;text;2;SYNTHETIC;Identification;
aep_equipement;type;Type;text;3;SYNTHETIC;Identification;
aep_equipement;ss_type;Sous-type;text;10;DETAILED;Caractéristiques patrimoine;
aep_equipement;diametre;Diamètre;int4;11;DETAILED;Caractéristiques patrimoine;
aep_equipement;lib_recol;Récolement;text;12;DETAILED;Caractéristiques patrimoine;
aep_equipement;date_serv;Date mise en service;date;13;DETAILED;Caractéristiques patrimoine;
aep_equipement;marque;Marque;text;14;DETAILED;Caractéristiques patrimoine;
aep_equipement;exploitant;Exploitant;text;20;DETAILED;Caractéristiques réseau;
